TF	spearman_pval	spearman_rho	spearman_adj_pval
ETV7	0.0409328002399519	-0.267387492694331	1
ZNF257	0.000236738735964863	0.465751022793688	0.0946954943859454
ZNF343	0.033564893750769	-0.277673874926943	1
ZNF454	0.0522587905453119	0.254237288135593	1
ZNF610	0.00569364350100625	0.357451782583285	1
ZNF675	0.000410214480557304	-0.44926943308007	0.164085792222922
ZNF707	0.264484694186513	-0.14739918176505	1
ZNF76	2.17316724436026e-08	-0.667562828755114	8.69266897744104e-06
ZNF784	0.672204916546354	0.0561075394506137	1
ZNF8	0.00179169857750025	0.400818234950322	0.716679431000101
ZNF816	0.607483602064654	0.0680888369374635	1
ZNF85	0.019264573587534	0.30479251899474	1
ZNF93	0.00405301000183881	0.370777323202805	1
ZSCAN31	3.7931596213293e-08	0.659146697837522	1.51726384853172e-05
ATF2	0.631790308315359	-0.0635300993571011	1
BATF	9.30948172984891e-07	0.599532437171245	0.000372379269193957
NFIB	4.01981590706145e-07	0.616306253652835	0.000160792636282458
NFYC	0.000799340217516843	-0.428170660432496	0.319736087006737
OSR2	0.593649377183362	0.070718877849211	1
TCF12	0.000182502676221047	0.473290473407364	0.0730010704884187
ZBTB12	0.000298904409080172	0.45885447106955	0.119561763632069
ZBTB14	0.017912784676417	-0.308182349503215	1
ZKSCAN5	0.033796395463441	0.277323202805377	1
ZNF148	5.21858616267397e-07	-0.611163062536529	0.000208743446506959
ZNF16	0.22761401990435	0.159263588544711	1
ZNF341	0.151730339720756	-0.188836937463472	1
ZNF449	0.00497925534636861	0.362770309760374	1
ZNF652	0	-0.747574517825833	0
FOXA3	0.0126549924053757	0.323904149620105	1
ZNF189	0.481506949313772	0.0932203389830509	1
ZNF331	0.00257959998086433	-0.387726475745178	1
ZNF417	0.227786366327154	-0.159205143191116	1
ZNF549	0.334182990623129	-0.127703097603741	1
ZNF680	0.438732191705572	0.102513150204559	1
ZNF708	0.0424537732429867	-0.265458796025716	1
ZNF768	0.0681407788502974	0.23927527761543	1
