name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
OLIG1	3.4619897748433	3.16387070749174	3.71613646332036	4.1138280865489e-145	7.80541575365729e-145
OLIG3	3.16899104566387	2.86399065107362	3.41955242277868	1.68564885522484e-115	2.80363704198065e-115
ATF7	4.84039714710354	4.25510298752655	5.44268978356007	0	0
CEBPG	3.60742650948049	3.16480164394942	3.96166188202492	5.76172370078445e-161	1.14350774061581e-160
CREB3L1	1.56959565694157	1.3329928900797	1.75975838467975	1.70908622949509e-11	1.77492582742106e-11
NFE2	5.57712704454324	4.94797544279955	6.09273513225494	0	0
TEF	2.72811054630158	2.26755311166368	3.07444114607416	6.84401939293738e-77	9.6262620591967e-77
XBP1	1.95652462362033	1.73158164884116	2.17067990397113	3.23535174185266e-27	3.6028787899805e-27
FOXB1	3.36717731422411	3.01150483253432	3.69761195640005	3.45305176992815e-135	6.27563060433572e-135
FOXC1	4.23347892012007	3.71497205312874	4.67264016033986	7.69971964689752e-238	2.01689012613065e-237
FOXC2	5.45568008420098	4.86059444237696	5.96896822980842	0	0
FOXO4	4.32059009210464	3.64336044620237	4.85514530977234	1.22931996521384e-249	3.32790802298475e-249
FOXO6	4.32059009210464	3.64336044620237	4.85514530977234	1.22931996521384e-249	3.32790802298475e-249
FOXP3	4.32059009210464	3.64336044620237	4.85514530977234	1.22931996521384e-249	3.32790802298475e-249
RXRB	2.26460975487592	1.80883143287377	2.64030963994734	3.11451891812689e-44	3.71788512920314e-44
RXRG	1.94884292393391	1.49672746797106	2.34837740605597	7.66545431527712e-27	8.46339409894932e-27
TP63	1.94587502280042	1.79024805057496	2.06778351114761	1.06810821723263e-26	1.17328695509255e-26
TP53	3.09577903321368	2.74384187220572	3.4157887788937	1.36946746717911e-108	2.19318181006159e-108
TP73	2.48733573565729	2.30510160191496	2.63854785345817	6.84884988522525e-59	8.91590719464937e-59
GMEB2	3.10219194641071	2.71547508701295	3.4825343972473	3.46074388058513e-109	5.56990370830492e-109
MTF1	4.35276273764424	3.94922085968155	4.68545289242654	4.62633507367001e-254	1.30140817072369e-253
E2F1	2.4163510996039	2.04205141797054	2.71823949206436	5.21757332240217e-54	6.58044822532983e-54
SOX21	3.39707757453209	3.13320525642252	3.59987263619804	2.77788886989636e-138	5.13512599663699e-138
ELK1	6.21384819323316	5.23488217065821	7.06714887404185	0	0
HOXD12	2.94467016926233	2.62608126776818	3.22719528342954	5.93562347664346e-95	9.07883779997239e-95
BARX1	2.02848212850344	1.85670099300322	2.17301740851752	7.61734217988876e-31	8.61611956361543e-31
BSX	1.36615216491002	1.22554517051527	1.49568135771259	6.19232938596404e-06	6.25029190751752e-06
DLX6	2.46008872626692	2.22424963703451	2.66360916160803	5.4022955839452e-57	6.92135691646049e-57
EMX2	1.87302783702361	1.66872332597801	2.05153580173887	2.81277464618915e-23	3.0432528362615e-23
EVX1	1.9551539738022	1.7746917380588	2.09985216201052	3.77524265617516e-27	4.19687628616036e-27
EVX2	2.34218775233173	2.13138320706414	2.50974792184878	4.05891991378565e-49	4.98315215221882e-49
GBX1	1.76629615778954	1.57325379445627	1.92488835946698	1.13093744796303e-18	1.20150497345169e-18
GBX2	2.73463594712093	2.47453885295929	2.97504696985386	2.07393734599082e-77	2.92977611977306e-77
GSC2	3.6225264577631	3.2020539576541	3.96759638463205	1.17740482567726e-162	2.35117568584318e-162
GSX1	2.50870548643432	2.27040561873962	2.70640293528901	2.12701976027733e-60	2.79144378275746e-60
HESX1	2.9961017856221	2.73318000509567	3.21653135872233	1.68583832365393e-99	2.62828288049178e-99
HMBOX1	1.92230135709092	1.73458734872149	2.07726445905041	1.44517654736727e-25	1.57944126038281e-25
HOXA10	5.50633186366326	5.00354729086916	5.88776482773351	0	0
HOXB3	1.95184376798027	1.75978172175088	2.10545239544441	5.47630372415134e-27	6.07747600261736e-27
HOXC10	3.63063420959503	3.26700476015736	3.93543680677859	1.4465082585952e-163	2.90649330220836e-163
HOXC12	3.05710308166677	2.66640037871007	3.40361906652303	5.09589564492552e-105	8.02200603957861e-105
HOXC13	3.95673829858154	3.60564240094064	4.23053321690094	3.85327964175952e-202	9.09880265773142e-202
HOXD11	3.57031735377202	3.22113949920533	3.88382928723244	7.55288327643777e-157	1.48082287268341e-156
ISL2	4.08711996741609	3.75679308479678	4.35221287340812	1.27121804662452e-218	3.1272930652702e-218
FOXK1	4.15049367211464	3.52526852603263	4.66820069483238	7.51218206545131e-227	1.92109952424782e-226
GATA2	6.63440887207317	5.32393084805994	7.61179218280332	0	0
HIF1A	1.9467915721198	1.64355658419226	2.21283801772878	9.64185144772715e-27	1.06093161338086e-26
MYC	1.96634008568115	1.66221996722261	2.23365035976718	1.06578284189508e-27	1.1909525020831e-27
MYB	6.7220512078753	6.29821615438852	7.06837931543221	0	0
MYCN	2.20216580415963	1.89085653147632	2.47336650125754	1.7870281799548e-40	2.10219496805592e-40
NEUROD1	9.59113413365207	8.6370072561391	10.4657012026215	0	0
NFIC	7.76666009524474	7.16642204980556	8.22747731594817	0	0
NFYA	4.58680768988727	3.86361072843402	5.17102899042724	2.42945525207911e-287	8.10235849533601e-287
NR2F2	2.27998517234393	1.81878236775127	2.67090674504294	3.50033132555264e-45	4.20950625954007e-45
PAX5	1.41219593070545	1.19303355589619	1.62144462322565	5.0802653503344e-07	5.1681315749471e-07
PBX3	2.27783796229573	2.01589908610021	2.49070225918167	4.75598962081634e-45	5.70895229066451e-45
